industry,customer_count,avg_transaction_value,num_transactions,marketing_spend,customer_satisfaction,churn_rate,fraud_cases,issue_identified,cluster
Banking,40876,96.08971233315654,1087,292091.74362378154,7.833912117205617,0.11532670057689118,6,Fraud Risk,1
Telecom,42909,253.9845610227075,1290,122547.10907525913,1.8056412981539696,0.4587381567080236,48,Fraud Risk,0
Telecom,21323,194.7781072839226,1871,202321.33601381714,5.433978032474759,0.10284501384680343,42,Operational Inefficiency,1
Healthcare,17428,326.905482297967,359,380361.3281890802,9.10934647960621,0.033727380944461885,5,Low Sales,2
Telecom,35578,81.93747626692397,1315,327187.3251363154,8.89334766138974,0.17046863434783413,45,High Customer Churn,1
Telecom,21950,226.55188546034762,1325,93010.17758979813,1.421325615108048,0.3662135087859095,46,High Acquisition Cost,0
Retail,44041,151.85841574742895,1897,30363.57286748023,3.7332862221605203,0.46240430231323926,39,Low Sales,0
Healthcare,42789,446.12073184241024,1308,343065.98880332214,4.989880058311721,0.32226996693907556,26,Fraud Risk,1
E-commerce,19293,39.48114182465364,257,129284.11689452594,2.550383329202094,0.4764008880136634,3,High Customer Churn,0
Healthcare,7364,458.58919712310046,1881,252336.77064588145,7.569984798909733,0.055261711245189346,0,Low Sales,1
E-commerce,36349,419.8371865054402,1745,374639.65239373414,2.660607960388404,0.03976932749812983,5,High Acquisition Cost,1
Retail,1691,162.83394389159142,198,283520.0564248849,4.119757249328975,0.3060540558643954,30,Low Sales,2
Banking,31062,398.85951424501025,340,46234.77864033922,6.969525731720364,0.48339699802144986,0,High Acquisition Cost,0
Telecom,1931,34.98250896259883,1614,96862.21720785993,5.33880410072032,0.2563334413878148,4,Fraud Risk,0
Retail,46896,484.09546414082894,301,113567.45109530498,7.647139347714044,0.035242460710259514,18,High Customer Churn,0
Telecom,32730,272.7655724430989,733,132642.80555419822,9.650871111005737,0.11839714147795351,4,Fraud Risk,0
Banking,15226,165.57489251141374,1632,284874.6790154996,2.0489201894367772,0.12994852414372762,4,High Customer Churn,1
Banking,14861,194.039942045445,1752,254463.06101356976,7.386109447582548,0.1755499932771055,48,Low Sales,1
Retail,32301,51.874569661038734,1219,105564.21899028342,3.0730974006890306,0.031365657957244185,30,Fraud Risk,0
Banking,49243,494.8877667401788,845,38439.647510565104,4.730290546668123,0.45339742324397897,43,High Customer Churn,0
E-commerce,23766,38.86013367233238,589,89858.94121498545,1.2957645321562583,0.26262633291353266,6,High Acquisition Cost,0
Banking,37174,334.3554191109723,678,492268.7497462086,2.2231664406342904,0.33875608854751343,14,High Customer Churn,2
Telecom,42107,232.5132452991,1341,236930.7401467788,3.877995601440097,0.0429146900785544,12,Fraud Risk,1
Telecom,18695,475.4797847305832,626,434336.0248275457,4.0778722475918645,0.036516579223788204,11,Fraud Risk,2
Telecom,42347,138.0798753472617,372,425132.47100107744,9.096266948158862,0.2973692082998681,18,Low Sales,2
Telecom,4121,275.40167549024545,1342,258202.1809441225,7.676316183398636,0.44477504514706195,12,High Acquisition Cost,1
E-commerce,19257,251.53098011972142,885,354810.415687969,9.74964671368337,0.26895618047017805,26,High Customer Churn,2
Healthcare,29164,357.37589314404863,1782,100412.24515429258,6.3916435930171644,0.44013139455933503,37,Fraud Risk,0
Retail,26491,52.644911337161844,1455,345756.3689388196,3.175423588821862,0.4073857237970673,32,High Customer Churn,1
Telecom,24165,113.01878241121032,1979,139830.3667353283,3.948895269294786,0.04716835503951117,5,Operational Inefficiency,0
Banking,49714,122.99111364456792,552,416870.7378933046,3.878523309627704,0.10895916244898804,12,High Acquisition Cost,2
Telecom,4748,374.312362324011,1275,46443.445888910406,3.9384489489692642,0.3322782278861178,12,High Acquisition Cost,0
Banking,34045,110.78657423683524,446,387703.64307821234,7.056677558006341,0.22731567744952036,12,Operational Inefficiency,2
Banking,27553,295.2760466676688,915,54468.76875146667,5.777271352813746,0.15244290868699106,19,High Acquisition Cost,0
Telecom,45331,123.31703384045778,513,441188.6722626829,4.468817602779799,0.21513058946350977,35,Operational Inefficiency,2
E-commerce,31497,433.57997604030965,1650,155581.23647682683,2.3418079185584495,0.22814782667261083,36,High Customer Churn,0
Banking,32308,472.2490181550265,530,328924.7155911345,1.1992524664793132,0.4561706029025823,44,Operational Inefficiency,2
Banking,40560,268.8766279722754,478,246313.6279170385,2.9695120982892336,0.06069455901542698,8,Low Sales,2
Telecom,47686,189.10826442040556,1097,186320.0569048578,1.9672426357181314,0.14706806593573135,16,Operational Inefficiency,0
Banking,11374,132.3477320083996,994,324493.70742583077,8.069005277670154,0.27340676012552984,34,High Customer Churn,2
Banking,5675,43.89488073106101,527,474023.8753728628,2.0124816203249685,0.3521605940489899,17,High Acquisition Cost,2
Telecom,2170,148.88003657479777,1989,25428.52495043782,7.518054135761526,0.3190122715900294,24,Low Sales,0
Telecom,42449,334.0331743737526,1207,459832.1636621366,4.470928207984744,0.4714049414913233,14,Operational Inefficiency,1
Retail,44485,276.1361270284212,291,306495.41923540167,1.6604055076939837,0.39984837316154187,22,High Customer Churn,2
E-commerce,13450,473.13981357484516,140,404620.5788806809,8.314570444884271,0.28296765256747086,0,Low Sales,2
E-commerce,11680,210.21308599601628,1987,195018.10194996741,6.21667513212952,0.11519451892001867,40,Low Sales,1
Banking,11068,353.05440431762935,1959,238562.27254461878,3.1218536157721575,0.2309283733870975,37,Low Sales,1
E-commerce,36230,254.87491878805827,1896,435081.1221415762,9.052130568994011,0.3497572996552939,17,Operational Inefficiency,1
Banking,47418,266.0365836436216,1432,210349.7450558624,1.407324824834963,0.4206014656696816,0,High Customer Churn,0
Retail,27206,148.5316710099764,1501,269656.48554079706,2.816376473779866,0.48027074996696983,38,High Customer Churn,1
Telecom,1287,238.37637288415985,235,14996.486926744788,7.768422350252749,0.30667185540757963,9,High Customer Churn,0
Telecom,23337,245.9767985660995,1913,83506.01288983093,7.384401372789003,0.2681904899791719,30,Fraud Risk,0
Telecom,21666,359.1884104394883,205,322634.8214475259,3.6034452435203024,0.018669042329362673,37,High Acquisition Cost,2
E-commerce,2161,471.50719960933463,618,359903.56602661917,1.5582238781750481,0.045328543883588174,6,High Customer Churn,2
Retail,36131,178.07421319160204,913,293387.4637083272,8.722702650024495,0.08649144884232612,37,Fraud Risk,2
E-commerce,25535,40.25622491902325,1665,75938.46795642728,3.8232787426291233,0.03683236628291776,7,Fraud Risk,0
E-commerce,33528,258.2216602403071,225,225475.68714602824,2.761420734354387,0.20642298701441397,33,Low Sales,2
Retail,39751,281.3414394316009,1480,180771.90934977896,5.644556401248794,0.17507048711804737,8,High Acquisition Cost,0
Retail,17527,100.85146454331932,499,250352.36529736873,9.192044793542026,0.32230353735551254,24,Low Sales,2
Retail,41975,385.02301101251203,178,435812.87210427667,1.3919192005903782,0.27247590288736734,26,High Acquisition Cost,2
Retail,24853,492.765972051916,488,389051.41213603265,7.8922367922779895,0.30202567210005127,40,Low Sales,2
Telecom,15758,473.97186416406123,1702,46574.80318763368,6.152259051448381,0.24126882943945052,6,Operational Inefficiency,0
Healthcare,1244,114.61089863535305,1658,445703.0528984093,4.829042048966352,0.146091202791586,31,High Acquisition Cost,1
Healthcare,4178,440.17435515236514,1824,238524.73981916267,7.69672399694554,0.47688440432377377,8,Fraud Risk,1
Retail,32831,358.15694547760864,173,373211.7617185692,9.69241981997469,0.052340488282468095,16,Fraud Risk,2
Healthcare,3176,237.84635062731755,1128,74319.4194758543,3.062855900464219,0.4700565897380005,34,High Acquisition Cost,0
Healthcare,38770,279.49327727586996,1586,337006.16522498877,2.2928262856490766,0.16250664296372,47,Low Sales,1
Retail,34654,427.8080839915799,181,121981.37871668168,9.215935707004274,0.26120410822997575,15,Operational Inefficiency,2
Healthcare,27627,250.46477102641913,1660,221998.54408476112,7.020577697115733,0.0633327381854976,1,Operational Inefficiency,1
E-commerce,47489,199.1395371704609,875,13347.120690641683,4.941874194057694,0.04475622350179454,42,High Customer Churn,0
Banking,45910,256.75879665247317,1090,80047.26577558563,6.159336132378548,0.2204772698721154,30,High Acquisition Cost,0
Banking,25881,297.9823059368236,1528,50579.84409619179,7.710525146586196,0.3734317144260423,15,Operational Inefficiency,0
Retail,36422,110.75727381360744,1637,123673.36560443793,7.957287088351455,0.14198874099878897,46,Low Sales,0
Telecom,12984,452.43571052815554,377,54508.95456203952,9.279047627370682,0.2855504655783068,32,Low Sales,0
Retail,24776,343.6097354382146,939,347495.4631766832,4.841585100060604,0.146538666856181,20,Fraud Risk,2
Telecom,18755,323.9690803219947,1978,19374.75159356359,3.640698190174555,0.20042039983759,16,Operational Inefficiency,0
Banking,8135,67.75818856670631,323,310781.547809374,6.756978401108577,0.4541586960521741,34,Operational Inefficiency,2
Retail,1320,310.0034903228441,1707,74650.37625865925,4.741551093515773,0.4293614164925106,6,Low Sales,0
E-commerce,38422,78.06111787447632,1191,472854.921303059,6.351386085540801,0.26284859627463864,28,Fraud Risk,1
Healthcare,29635,57.77488409379154,1443,466881.56618937786,4.779872186103551,0.1266717574613186,10,Operational Inefficiency,1
Telecom,22684,273.10922990834877,705,116624.03574787649,2.3769620801035702,0.10466011723918117,29,Low Sales,0
Healthcare,24238,213.3370563423176,118,309138.5426203996,5.224840764930626,0.4775028029875,17,Fraud Risk,2
Healthcare,22889,302.62892967498715,739,18862.633138866924,7.218260397469296,0.10933113229023687,45,Fraud Risk,0
Retail,31313,62.82664066747452,1466,466235.3288103312,8.19355426900885,0.4060024723471442,15,Low Sales,1
Healthcare,33535,226.87187016668403,1717,263878.71755489626,5.439936491168922,0.19079540267241327,5,Fraud Risk,1
E-commerce,49899,103.89762322167583,1889,26395.459951800603,2.487141011893608,0.49297332530353677,1,Fraud Risk,0
Healthcare,11770,493.808041243576,1856,174537.496539028,4.732189386844884,0.19039631277776606,42,High Customer Churn,1
Retail,40321,289.3521019688837,1466,43040.48362131093,8.076645359575284,0.18224314620625578,42,Fraud Risk,0
E-commerce,21426,349.9696932516163,196,199507.49748981313,4.7157334355536555,0.32235717815003534,9,Operational Inefficiency,2
Banking,45327,176.20077472765175,1175,336613.5393698549,7.268777142438001,0.4811432352471414,3,Fraud Risk,1
Healthcare,42777,65.47467909408519,274,237595.5044805126,5.564923135102808,0.4883427068402521,48,Operational Inefficiency,2
Retail,47250,488.41801413609755,1461,194942.47648612995,3.1710081259845704,0.35653101176882274,9,Low Sales,0
Banking,8498,157.40433698392795,1817,63982.73754253008,8.165354572207669,0.37975711916181326,8,Fraud Risk,0
Banking,40404,223.42792888331562,1476,126244.82761835988,1.7579210866361832,0.2860670662267836,44,Low Sales,0
Telecom,41130,331.934682417236,1514,54570.92743048381,5.724012544796356,0.38033011217484264,42,High Acquisition Cost,0
E-commerce,17395,31.854702889333417,1238,404711.8721700471,2.8800193081906444,0.4312920309355433,41,Fraud Risk,1
Healthcare,3537,408.92438264829775,447,71943.71485243767,1.603590656872381,0.2481866985655614,23,Low Sales,0
Retail,20226,277.5575312137377,100,299709.8164417023,5.52640543374924,0.3137325087867505,4,High Acquisition Cost,2
Telecom,16216,153.54424979303462,162,174656.5047264787,5.496059403414312,0.2732851806641934,34,Operational Inefficiency,2
E-commerce,19613,49.571832940385235,1883,116859.30040431583,7.3621081150814875,0.28561060062905186,3,Operational Inefficiency,0
Telecom,4009,97.9992394277319,1866,321536.87754859135,7.702756237467144,0.44612347583823103,34,Operational Inefficiency,1
E-commerce,25368,449.61625224964973,325,231216.1431415856,7.550123398236071,0.1842522468007294,41,Operational Inefficiency,2
E-commerce,30327,349.29162748922766,522,203072.00630585678,4.686028596250795,0.11201017254430586,12,Operational Inefficiency,2
Healthcare,15209,139.9528263857071,1142,298461.7424216497,6.685208085039063,0.23357725403407828,36,High Customer Churn,1
E-commerce,49443,51.48836717361418,130,248177.47610255037,6.192507183795643,0.11196174333581993,31,Low Sales,2
Telecom,16029,351.4953499455854,944,155224.68323302257,4.794055805052277,0.25421620857438937,44,High Acquisition Cost,0
E-commerce,3077,294.7557084645273,732,281735.3374437996,6.374914247673939,0.4527189716249587,0,High Acquisition Cost,2
Healthcare,14907,214.16937173995282,123,336401.79539259383,9.525230890356363,0.3125424250364141,10,Fraud Risk,2
Healthcare,37635,194.53349561123065,936,18213.11350049287,2.7360436931323964,0.4291620981185081,25,Low Sales,0
Telecom,49920,124.07085244597198,1082,235606.5058092993,9.151948862069737,0.09143355061160077,2,High Customer Churn,0
Banking,5873,341.41340313800845,1334,33553.22586885416,1.4810996258487852,0.45142806034321664,48,High Customer Churn,0
Banking,9635,485.92065334105786,260,97270.67996371498,3.775502916114946,0.30487571055948676,12,Low Sales,0
E-commerce,34065,104.34331800167641,1378,282451.82336859667,3.5933072375037542,0.025562296482835103,31,Operational Inefficiency,1
Retail,46863,306.6159776074416,1694,433763.51305646246,6.6372859709281515,0.320228288089668,47,Operational Inefficiency,1
E-commerce,42804,223.60882675806857,213,441988.8111983,2.181024565995613,0.4761845085678498,49,Low Sales,2
Telecom,34783,234.41058643743915,603,39622.28501862248,8.941128506557783,0.048791830232927415,22,High Acquisition Cost,0
Telecom,35152,141.99069446135093,1795,212457.0177119198,8.456962676185372,0.29540350393009035,22,Operational Inefficiency,1
Telecom,42513,416.06474031748115,1054,293588.20908725285,6.8685923771675,0.4585845154061602,29,Fraud Risk,2
Telecom,30092,252.92268999067574,1343,77799.60275241999,5.12572448612978,0.014750632483843534,5,High Customer Churn,0
Telecom,18653,280.8348090551668,456,383888.94728866196,9.396604379278706,0.31914733396825334,6,Operational Inefficiency,2
Healthcare,33463,166.28523814271637,268,373396.45292643324,8.476718992485004,0.2427021229971717,46,High Acquisition Cost,2
Banking,35028,107.26806352013588,1647,452153.80178486335,5.493836332731204,0.1800247661378192,29,Operational Inefficiency,1
Telecom,41469,61.236986337353834,1068,9200.575981304293,7.316860190088801,0.3174928800732343,36,Operational Inefficiency,0
Retail,21947,362.7771876439596,341,112258.70077455632,6.102369569617161,0.03582402634783429,47,High Customer Churn,0
Retail,30978,114.19245521017069,1498,414457.42355143424,6.291480145494381,0.3790008926808261,31,Fraud Risk,1
Retail,23056,351.2361700106229,238,336937.125159333,3.9787846249372416,0.012194943690656736,5,Fraud Risk,2
Retail,30007,207.38069410253786,196,447722.9775807529,5.158761441624071,0.1603985144582526,34,High Acquisition Cost,2
Healthcare,44169,219.5719044750327,246,33303.92899248193,1.7030928771076979,0.2569397324654924,31,Low Sales,0
Retail,49287,245.20519812453043,1305,300497.1630296392,4.216138224981332,0.19474090277761033,11,Low Sales,1
Telecom,45632,196.50008390122073,1180,286678.05457236874,7.262456638259367,0.1606632082507354,3,Low Sales,1
E-commerce,49449,68.29758906684324,1165,22658.836098463522,9.578944274555678,0.4171092212793671,31,High Acquisition Cost,0
Retail,6543,168.62326880136598,965,259193.42807167934,9.667577014867183,0.46806796139323537,34,Operational Inefficiency,2
Healthcare,22067,338.59249313309044,1834,306712.5540984125,6.001505822124025,0.43811921560388545,47,Fraud Risk,1
Healthcare,46256,339.57651270505806,642,99690.12123004308,6.459600266286238,0.26599134339449987,15,Fraud Risk,0
Retail,26097,157.3876674751973,791,140298.14364670817,2.6714906695087075,0.44324044584480665,14,Operational Inefficiency,0
E-commerce,43847,240.8492607476902,1125,321971.9364173798,7.257772972841776,0.4612221669389564,40,Fraud Risk,1
Retail,44512,112.85466944573,1411,236808.96906197938,1.6359291340694762,0.2105268145532564,1,Fraud Risk,1
Healthcare,4809,120.97859913432117,1261,429716.7604963218,3.5621711721950007,0.14888847115766826,5,Low Sales,1
Banking,23191,31.062602435171556,1740,174478.97417454823,7.01527012556898,0.058149950848526956,13,Low Sales,0
Telecom,22267,450.4383439557174,1635,136996.53090215957,3.7927911838914037,0.24475504131412223,40,High Customer Churn,0
Healthcare,8206,121.13919923595498,1003,492508.6404706972,1.4486218670300888,0.47368549101483626,28,High Customer Churn,1
Retail,22057,129.2162609295024,829,456012.2062143913,8.486833684158675,0.2848446887544818,41,Fraud Risk,2
Telecom,29992,154.20868766966328,1345,19351.40877449503,3.7929700642110675,0.33710542987522407,25,Low Sales,0
Retail,47514,81.15587441380592,430,386510.66457675013,1.567947023728106,0.06531307106100531,17,High Customer Churn,2
Retail,16995,326.84618392705414,716,59615.713043475465,1.6730934805257867,0.08032463542970555,46,High Customer Churn,0
Banking,49803,56.06861752524155,503,18605.171440538623,3.2658291890987825,0.23759189836023956,3,Low Sales,0
Telecom,45439,84.41716463664812,607,140479.2804033427,2.6021435249937364,0.4761197515020256,36,High Customer Churn,0
Telecom,14210,329.4832287632446,1250,138326.21013524663,7.968701060021358,0.18678447437984916,37,Operational Inefficiency,0
Banking,18793,183.03709783109252,1388,410562.7873617475,3.89515642000331,0.43996718024559145,24,Operational Inefficiency,1
Healthcare,27270,359.81495681657077,1835,356780.2867417034,8.242262065358492,0.06894141077859864,46,Low Sales,1
Retail,6197,287.5638774416682,1887,490896.6665293471,2.5646139804083754,0.31233843139751793,28,Low Sales,1
E-commerce,49321,142.89016306952627,1138,357198.88565435016,5.435912615896754,0.3043003586861539,33,High Customer Churn,1
Retail,8452,332.3974162348775,325,212036.49886174372,7.192334201978159,0.43133862753443153,15,Fraud Risk,2
Retail,42486,75.81136654058271,1083,350969.19216788234,6.867917684792694,0.011625185158401738,36,High Acquisition Cost,1
Healthcare,15859,277.4769838784146,964,499732.238257269,6.410164689372419,0.10306651692681035,29,Operational Inefficiency,2
Retail,28236,229.83109042161664,1228,356520.2318684514,9.323394417380529,0.11764693646044604,22,Operational Inefficiency,1
Banking,32899,148.5793197523716,844,382032.27121025755,3.0567263293606994,0.4754833831644613,35,Low Sales,2
Banking,33083,309.92239891496007,592,469490.6825191784,5.4434728401589485,0.08530989157224853,27,Fraud Risk,2
Telecom,3172,438.24012432333564,418,61257.37434928326,8.955932950651679,0.02811155160807459,0,Low Sales,0
E-commerce,46926,499.4742558862768,1342,353868.2252566248,1.7010438903564133,0.27188613242348597,7,High Customer Churn,1
Retail,17663,311.7261289968438,1400,426148.94919388724,1.5029944142776772,0.268993646592504,41,Fraud Risk,1
Retail,28540,214.2588196780017,872,477417.40710934205,3.099720588024623,0.4235830130302535,14,High Customer Churn,2
Healthcare,20053,128.09940810377677,1464,109429.7984072912,6.697190975842166,0.474941228587123,33,Operational Inefficiency,0
Banking,12085,143.40612290965365,551,254444.8588235009,3.338916638048262,0.2738872666486642,18,Low Sales,2
E-commerce,31564,250.1383895118875,1492,341874.6495840185,2.712158954279191,0.46569714938563117,43,Low Sales,1
Telecom,25209,196.29329661474043,1043,127496.52610316203,5.1292208382246285,0.36532798413691653,29,High Acquisition Cost,0
Banking,4981,458.6309708599732,947,302234.0673088856,6.522382618924703,0.13963397271783667,9,Fraud Risk,2
Telecom,22153,196.78182447474057,1116,132501.4973365097,3.2370193631506634,0.4649261483625239,43,Operational Inefficiency,0
Healthcare,6247,199.25340374980902,1597,170061.2251631654,3.7062206805136784,0.33704715632911864,26,High Acquisition Cost,0
Healthcare,11553,204.09656596830894,1313,223551.7547728782,6.522033743303625,0.21290700704389057,19,High Acquisition Cost,0
Retail,21811,421.5777009764759,983,266949.09887955064,9.511645797905075,0.34331862141329605,24,Low Sales,2
E-commerce,30845,332.3783940065129,518,227436.10645444956,7.072675546942794,0.20664328559443793,8,Fraud Risk,2
Telecom,7135,314.8010481530685,1833,249131.78229502495,8.04613729226104,0.06595004631410004,39,Low Sales,1
Banking,6573,180.38865074425385,964,152801.43436270484,4.3012908527992195,0.3622995861166809,33,Fraud Risk,0
Healthcare,14731,412.59400487957095,888,83687.72154120215,3.4502892344601945,0.41380292996366447,20,High Acquisition Cost,0
Retail,8189,38.414653450736544,1971,28438.238776785518,5.088409688823603,0.3671150375195,23,High Customer Churn,0
Retail,15541,437.9826427222943,594,102009.4676333755,8.264195458405062,0.1222661872007715,6,Operational Inefficiency,0
Telecom,44646,266.1199519010862,1162,293062.1025453626,5.106696776115003,0.47875115660403034,3,High Acquisition Cost,1
Healthcare,12087,211.16011273443814,261,394127.1466625505,8.620528679108748,0.022374735228666398,7,Low Sales,2
E-commerce,47435,258.6402947444891,220,88777.56073423279,9.898947826256144,0.1730157957140639,12,Operational Inefficiency,0
Healthcare,3776,340.35945465623894,498,58734.90209746099,1.648239991573027,0.1374452929220988,20,High Acquisition Cost,0
Telecom,43079,26.127404728590733,1385,375898.72847187886,1.4086914047533332,0.03358185153127698,34,Fraud Risk,1
Telecom,28564,438.3448910999589,827,156053.3736159584,2.3463073262202565,0.20880754956444755,4,Low Sales,0
Healthcare,29835,234.43497214946856,1947,475992.22241753945,4.459327081609116,0.3153262716797595,7,High Acquisition Cost,1
Telecom,8697,184.62392945603753,660,358587.39545213466,2.1793798823088917,0.44245090310769963,1,Fraud Risk,2
Healthcare,15629,86.3578715043474,703,166744.24338530027,8.835980298568803,0.4949479609338203,23,Fraud Risk,0
Banking,9386,230.94337969205222,1252,148323.66015788395,1.208316259243574,0.4059638973381551,41,Fraud Risk,0
Healthcare,18046,258.2349302165019,1956,264230.70120429795,3.842134447022403,0.23965345416928416,15,Operational Inefficiency,1
Healthcare,9044,213.75041335686933,639,44176.61079771367,2.6622516654478483,0.36461516872384503,3,Low Sales,0
Telecom,10615,345.7568450369106,455,63249.873759423004,9.38385397141779,0.42337565640892394,29,Fraud Risk,0
Telecom,48802,222.0303338044285,759,92049.65125151529,7.025329044010252,0.23800052624515386,45,High Acquisition Cost,0
Retail,6060,481.4804373663552,531,388488.1786857573,9.20827230806237,0.39467667267249495,29,Fraud Risk,2
Retail,11900,307.6532085553241,1963,259359.39283821563,9.75095839279354,0.24649968497330962,34,Low Sales,1
Banking,6581,407.5894091129163,1188,10230.725773349255,5.473884193096323,0.19938303552959413,41,Operational Inefficiency,0
Retail,35782,72.49083349254985,1341,338390.6810986939,3.1088719724322362,0.267784510514043,12,Fraud Risk,1
Healthcare,21173,210.69982061403473,662,214726.63843694606,2.7435590757693036,0.341168821437301,36,High Acquisition Cost,2
Telecom,13997,181.6868966946333,1550,257871.92065708,3.0062697551725646,0.3661722075961127,48,Low Sales,1
Retail,44403,293.35154630556406,916,110987.5404894031,7.377339768598026,0.18480077175713286,48,Fraud Risk,0
Retail,47416,433.33448962948427,1197,278132.2030550813,1.3640115531070065,0.2899469232624571,10,Operational Inefficiency,1
Banking,8148,57.6023445257632,1583,489680.8536769869,1.462249657294434,0.45583672829941907,18,High Customer Churn,1
Banking,19748,54.83590306146118,1548,41355.12204785192,6.47328648144835,0.48839332105421346,17,High Acquisition Cost,0
Healthcare,15022,428.15249991564747,810,145539.11283389316,6.778514320636659,0.1213515646801377,16,Fraud Risk,0
Telecom,21013,122.16804129841157,1315,125283.80846611074,6.98736631890214,0.10448727119953731,10,Fraud Risk,0
Banking,39687,341.0015621359106,1312,128031.9088218339,4.346924541297321,0.3415759603800378,14,High Customer Churn,0
Retail,16886,280.5815035331865,111,192459.64699486177,8.253503998427378,0.2131951040534875,7,Low Sales,2
Telecom,26256,419.78892554587014,338,409964.3434483629,5.802621289539558,0.021868945824887145,43,High Customer Churn,2
Telecom,31005,80.0426767214737,1995,456865.0515323717,1.949190670084775,0.17996231661716924,28,Low Sales,1
Retail,7638,82.29582354685341,1716,105096.4682921918,8.173893763606106,0.4053049243014035,16,Fraud Risk,0
Banking,38419,287.2728129335876,552,273760.2192843158,9.577610076434125,0.40073919588775947,25,High Customer Churn,2
Retail,34377,474.261753612018,482,320264.9912219127,1.540326817021228,0.25239572292012513,4,Fraud Risk,2
Telecom,41708,219.19892401796204,881,263304.59981010325,4.522162048305219,0.2415631880948923,3,High Customer Churn,2
E-commerce,44116,176.93220812225357,1925,219867.8151274752,5.387644403512729,0.29395864679284495,23,Fraud Risk,1
E-commerce,37634,311.2108751349852,147,100027.87540032274,2.3182368407048526,0.11750438817615223,10,Fraud Risk,0
Healthcare,17755,466.61532826161493,416,246668.58280362308,8.809380530045894,0.2677613761965682,29,Fraud Risk,2
Retail,24382,421.7253597654194,308,203601.3397171078,3.557346804010396,0.01541271642775771,39,Operational Inefficiency,2
Retail,23394,497.8321331519455,1670,398803.8644386235,8.047076859443441,0.24302418184373553,47,High Customer Churn,1
Healthcare,3253,30.832919937141003,1242,382984.1577856826,7.038950338254844,0.17466501266279036,47,Operational Inefficiency,1
Healthcare,38710,74.17190946212587,676,71329.34719680701,6.382412402203211,0.3406861068927932,34,Fraud Risk,0
Healthcare,46098,312.54452641597857,414,48816.93101871845,2.7292856382689896,0.3227932562347875,43,High Acquisition Cost,0
Telecom,1864,413.87669088024785,853,454536.201897614,2.9863316849581514,0.19660958128957642,44,Low Sales,2
